dataset,opening,count,top_k,n_words
alpaca,what is the,198,20,3
alpaca,generate a list,168,20,3
alpaca,come up with,124,20,3
alpaca,rewrite the following,106,20,3
alpaca,compare and contrast,77,20,3
alpaca,classify the following,71,20,3
alpaca,create a list,71,20,3
alpaca,given the following,62,20,3
alpaca,give an example,58,20,3
alpaca,what are the,56,20,3
alpaca,edit the following,50,20,3
alpaca,rewrite the sentence,50,20,3
alpaca,write a short,48,20,3
alpaca,make a list,48,20,3
alpaca,categorize the following,44,20,3
alpaca,explain the concept,42,20,3
alpaca,given a list,41,20,3
alpaca,generate a sentence,40,20,3
alpaca,generate a story,39,20,3
alpaca,"given a sentence,",38,20,3
dolly,what is the,663,20,3
dolly,what are the,361,20,3
dolly,give me a,285,20,3
dolly,what are some,238,20,3
dolly,what is a,225,20,3
dolly,identify which instrument,164,20,3
dolly,classify each of,160,20,3
dolly,from the passage,147,20,3
dolly,tell me whether,138,20,3
dolly,given this paragraph,136,20,3
dolly,given a reference,130,20,3
dolly,which of the,106,20,3
dolly,who is the,101,20,3
dolly,which is a,82,20,3
dolly,how do you,78,20,3
dolly,based on the,77,20,3
dolly,identify which animal,70,20,3
dolly,what was the,63,20,3
dolly,which of these,62,20,3
dolly,tell me which,57,20,3
oasst1,what is the,273,20,3
oasst1,what are the,150,20,3
oasst1,how do i,135,20,3
oasst1,what are some,124,20,3
oasst1,how can i,106,20,3
oasst1,can you give,96,20,3
oasst1,can you explain,77,20,3
oasst1,i want to,67,20,3
oasst1,can you write,64,20,3
oasst1,can you tell,57,20,3
oasst1,are there any,57,20,3
oasst1,can you provide,57,20,3
oasst1,thank you for,55,20,3
oasst1,can you please,50,20,3
oasst1,is there a,46,20,3
oasst1,give me a,39,20,3
oasst1,what is a,38,20,3
oasst1,i would like,37,20,3
oasst1,write me a,37,20,3
oasst1,how do you,35,20,3
